device	time	ONE_BY_ONE_CREATE	ONE_BY_ONE_UPDATE
Android SDK built for x86	2017-06-02 08:16:56	5558	6264	
Android SDK built for x86	2017-06-02 08:17:08	4501	4571	
Android SDK built for x86	2017-06-02 08:17:17	4411	4384	
Android SDK built for x86	2017-06-02 08:17:26	4295	4373	
Android SDK built for x86	2017-06-02 08:17:35	4353	4580	
Android SDK built for x86	2017-06-02 08:17:45	4410	4488	
Android SDK built for x86	2017-06-02 08:17:54	4374	4896	
Android SDK built for x86	2017-06-02 08:18:03	4492	4427	
Android SDK built for x86	2017-06-02 08:24:22	7518	6054	
Android SDK built for x86	2017-06-02 08:24:36	5665	6898	
Android SDK built for x86	2017-06-02 08:24:48	8889	12600	
Android SDK built for x86	2017-06-02 08:25:10	7459	6854	
Android SDK built for x86	2017-06-02 08:25:25	4987	6362	
Android SDK built for x86	2017-06-02 08:25:36	6216	6148	
Android SDK built for x86	2017-06-02 08:25:49	5817	6776	
Android SDK built for x86	2017-06-02 08:26:02	8598	9030	
Android SDK built for x86	2017-06-02 12:57:39	8910	7498	
Android SDK built for x86	2017-06-02 12:57:56	7426	7609	
Android SDK built for x86	2017-06-02 12:58:12	8238	8215	
Android SDK built for x86	2017-06-02 12:58:28	7552	8751	
Android SDK built for x86	2017-06-02 12:58:45	7598	9466	
Android SDK built for x86	2017-06-02 12:59:02	7861	9820	
Android SDK built for x86	2017-06-02 12:59:20	8109	8865	
Android SDK built for x86	2017-06-02 12:59:37	8530	8668	
